NBACC13;EXPLEVT;AUTRE_REACTION;AUTRE_USAGER;REACTION_AUTRE_USAGER;AGGRAVATION;BIEN_EQUIPE;ALLURE;SITUATIONPRESSE;SITUATIONDISTRAIT;SITUATIONCONFIANT;SITUATIONCONTROLE;SITUATIONLUDIQUE;SITUATIONPERF;SITUATIONSTRESS;SITUATIONFATIGUE;HUMEURNEUTRE;HUMEURGAI;HUMEURMECONTENT;HUMEURTRISTE;HUMEURCOLERE;ROLEINFRA;ALCOOL;STUP;SEMAINE;MOMENTJOURNEE;TEMPS;CAUSE_ACC1;CAUSE_ACC2;CAUSE_ACC3;CAUSE_ACC4;CAUSE_ACC5;FORMATION_CAUSE;TRAFIC;CHAUSSEE1;TYPEACC;TRAJET;TYPEROUTE;PASSAGER;VITESSE;EQ2RMABS;EQ2RMCBS;POINTS;DUREE;NBINCI11;ABS_REACTION;MEDICAMENTS;TYPE_ROUTE;MOTIF;ACC/INC
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;Vous avez fait une sortie de route, une perte de contrôle ou une glissade puis avez percuté un obstacle fixe (panneau, arbre poteau ).;1;0;;;3;3;1;3;3;3;1;1;1;4;3;4;4;4;4;1;2;2;2;1;2;15;0;0;50;35;2;1;2;2;1;1;0;50;1;1;12;4;;;;1;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;"Vous circuliez sur un axe constitué dau moins "" 2 X 2 voies "" (en urbain, périphérique, autoroute, RN ). Un véhicule vous a coupé la route en changeant de voie pour se placer sur celle de droite.";0;1;2;1;4;3;1;1;3;4;1;1;2;1;1;4;4;4;4;1;2;2;1;1;1;0;100;0;0;0;1;3;1;1;1;3;0;40;0;0;12;4;;;;3;;accident
1;Autre(s) type(s) d'accident(s).;0;1;2;2;4;4;1;1;4;4;1;1;1;2;4;1;4;4;4;2;2;2;2;1;1;0;100;0;0;0;2;1;1;1;2;1;1;0;1;1;12;2;;;;1;;accident
1;Vous avez fait une sortie de route, une perte de contrôle ou une glissade sans rien percuter.;0;0;;;4;3;1;NSP;2;3;3;1;2;1;1;4;4;4;4;2;2;2;2;1;2;20;0;0;40;40;2;1;2;1;3;2;0;30;1;1;12;2;;;;2;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;Vous remontiez une file de véhicules par la gauche. Un véhicule de la file a laissé passer un autre véhicule venant dun autre axe non prioritaire. Ce dernier vous a coupé la route.;1;0;;;3;1;1;1;4;4;1;1;3;3;2;3;1;4;4;2;2;2;1;1;1;50;50;0;0;0;2;4;1;1;1;2;0;20;1;1;12;4;;;;2;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;Vous circuliez sur un axe prioritaire. Un véhicule venant dun axe non prioritaire vous a coupé la route.;0;1;2;1;4;3;2;2;4;4;2;1;2;3;1;3;4;4;4;2;2;2;1;1;2;0;100;0;0;0;2;1;2;2;2;1;0;30;1;1;12;3;;;;1;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;Vous circuliez derrière un véhicule. Ce véhicule a freiné ou a ralenti et vous lavez percuté par larrière.;0;1;2;2;4;2;1;4;3;3;1;1;1;2;4;3;4;4;4;2;2;2;2;1;1;90;10;0;0;0;2;1;1;2;1;2;0;80;0;1;12;1;;;;2;;accident
1;Vous avez fait une sortie de route, une perte de contrôle ou une glissade sans rien percuter.;0;0;;;3;3;NSP;3;4;4;NSP;1;1;1;1;4;4;4;4;1;2;2;2;1;2;0;0;0;95;5;NSP;1;2;1;1;1;0;60;1;1;12;2;;;;1;;accident
1;Vous circuliez sur un axe prioritaire. Un autre véhicule arrivant sur le même axe en sens opposé vous a coupé la route en tournant à gauche.;0;1;2;1;4;3;2;1;4;4;NSP;1;2;1;2;3;4;4;4;2;2;2;1;1;1;20;80;0;0;0;2;3;1;2;1;1;0;50;1;1;12;4;;;;1;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;Vous circuliez derrière un véhicule. Ce véhicule a freiné ou a ralenti et vous lavez percuté par larrière.;0;1;2;2;3;3;1;1;4;4;4;1;1;1;1;4;4;4;4;1;2;2;2;1;1;90;0;0;10;0;2;3;1;2;1;3;0;70;0;0;12;4;;;;3;;accident
1;Autre(s) type(s) d'accident(s).;0;0;;;3;3;2;2;3;3;1;1;1;2;2;4;4;4;4;1;2;2;1;3;3;20;0;0;70;10;1;1;1;2;1;2;0;65;1;1;12;1;;;;2;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
