Ligne;CAUSE_ACC1;CAUSE_ACC2;CAUSE_ACC3;CAUSE_ACC4;CAUSE_ACC5;TYPE_ROUTE;HUMEURNEUTRE;HUMEURGAI;HUMEURMECONTENT;HUMEURTRISTE;HUMEURCOLERE;ACC.INC
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;90;0;0;10;0;1;3;3;4;4;4;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;0;60;0;20;20;1;3;4;4;4;4;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;25;25;0;50;0;1;3;4;4;4;4;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;15;0;0;50;35;1;3;4;4;4;4;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;100;0;0;0;0;2;4;1;4;4;4;accident
;80;0;0;10;10;1;3;4;4;4;4;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;10;0;50;40;0;2;3;3;4;4;4;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;70;0;0;0;30;1;1;4;4;4;4;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;0;100;0;0;0;1;1;1;4;4;4;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;0;100;0;0;0;3;1;4;4;4;4;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;0;100;0;0;0;1;4;1;4;4;4;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;10;90;0;0;0;4;2;3;4;4;4;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;0;80;0;10;10;1;4;3;4;4;4;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;0;100;0;0;0;1;1;3;4;4;4;accident
;;;;;;;;;;;;accident
;;;;;;;;;;;;accident
;0;100;0;0;0;1;4;3;4;4;4;accident
